EAN,Product Name,Price
8719324021798,Live,199.99
4006381001552,These,85.50
9315511003460,Close,129.00
5012345000987,Southern,39.99
2000000000010,Goal,75.25
7622300000015,Word,45.90
3276000105085,Half,25.00
6901869102409,Water,19.99
0002829100118,East,22.75
1910580000105,Political,15.90
8410000000018,Large,989.90
5412345678901,Data,89.95
2900000000012,Significant,349.00
9002490100005,School,55.00
7376570000011,Up,12.50
0723500001015,Trial,110.00
6404200000019,Remote,95.00
8000505000123,Jacket,29.99
4015600000017,Phone,45.40
5900000000017,Cable,150.00
9788532500001,Mug,8.90
1234567890128,Book,19.90
4902505000019,Towel,35.50
8806086000012,Lamp,49.00
7798138000015,Chair,175.80
4567890123456,Mirror,65.00
1357924680135,Socks,9.99
2468013579246,Shelf,88.75
3691215182124,Clock,33.00
5814720232629,Rug,49.50
7037248253032,Pants,59.90
8260776283538,Shirt,35.00
9483304313841,Belt,18.00
1190832344147,Glove,15.50
2313350374850,Hat,22.00
3435878405553,Scarf,17.50
4558406436256,Coat,120.00
5670924466959,Boots,150.00
6793452497662,Dress,89.99
7915970528365,Skirt,45.99
9038498559068,Jewel,79.00
0151026589771,Ring,25.50
1273554610474,Chain,30.00
2396082641177,Earring,19.95
3518610672880,Wallet,40.00
4641138703583,Purse,28.50
5763666734286,Kettle,55.00
6888194764989,Toaster,49.90
8010722795692,Blender,69.90
9133250826395,Mixer,75.00
0255778857098,Iron,35.50
1378306887701,Vacuum,155.00
2500834918404,Fan,45.00
3623362949107,Heater,60.00
4745890989810,Aircon,299.99
5868418020513,Fridge,550.00
6990946051216,Stove,380.00
8113474082919,Oven,210.00
9236002113622,Microwave,135.00
0358530144325,Dish,18.50
1481058175028,Plate,15.00
2603586205731,Bowl,12.50
3726114236434,Cup,8.00
4848642267137,Spoon,4.50
5971170297840,Fork,4.50
7093698328543,Knife,6.00
8216226359246,Bottle,9.90
9338754390049,Glass,7.50
0461282420752,Tray,14.00
1583810451455,Pot,25.00
2706338482158,Pan,30.00
3828866512861,Brush,5.50
4951394543564,Soap,6.90
6073922574267,Shampoo,12.90
7196450604970,Paste,4.90
8318978635673,Cream,15.50
9441506666376,Lotion,18.00
0564034697079,Spray,9.50
1686562728782,Wipes,7.50
2809090759485,Diaper,29.99
3931618790188,Toy,22.00
5054146820891,Game,45.90
6176674851594,Puzzle,15.00
